a11,a12,a21,a22,b11,b12,b21,b22,c11,c12,c21,c22
0,-12,-11,-10,-17,-3,20,3,-240,-36,-13,3
-4,12,18,-7,-16,3,-20,15,-176,168,-148,-51
17,-2,4,17,-8,15,2,-12,-140,279,2,-144
-9,-13,2,-4,-8,8,16,13,-136,-241,-80,-36
-11,-10,-20,-15,-8,11,-6,7,148,-191,250,-325
-20,2,8,-3,20,5,6,14,-388,-72,142,-2
8,-18,-1,9,5,11,6,3,-68,34,49,16
5,17,-4,-13,9,18,-1,14,28,328,-23,-254
-2,-9,-3,-10,3,-19,-20,8,174,-34,191,-23
-16,9,18,11,15,-10,13,-3,-123,133,413,-213
-10,-10,-17,-3,-17,-3,6,-9,110,120,271,78
20,5,-19,17,-10,0,5,-1,-175,-5,275,-17
20,-19,-6,1,-11,9,-12,16,8,-124,54,-38
-6,-19,-8,-18,-18,9,12,-14,-120,212,-72,180
-18,-2,11,5,-18,15,-8,-11,340,-248,-238,110
-9,18,3,5,16,13,16,-3,144,-171,128,24
-18,-14,11,-20,-18,5,13,12,142,-258,-458,-185
-1,-17,-6,-7,8,-13,19,8,-331,-123,-181,22
3,-11,15,13,15,-17,-14,18,199,-249,43,-21
-10,-19,-17,9,15,8,8,-14,-302,186,-183,-262
-18,-14,16,-19,-8,0,16,0,-80,0,-432,0
19,13,-15,9,0,14,16,-5,208,201,144,-255
19,1,-3,-2,10,4,1,17,191,93,-32,-46
-13,-6,-2,8,-10,14,-6,-19,166,-68,-28,-180
-6,-18,12,-5,-4,-7,-6,14,132,-210,-18,-154
-10,-15,-4,-8,-14,-8,6,-3,50,125,8,56
-13,5,1,-12,6,-4,10,0,-28,52,-114,-4
5,0,-3,-12,-3,-19,-8,13,-15,-95,105,-99
-5,18,7,-14,-9,-11,6,-5,153,-35,-147,-7
-4,16,-10,-11,-14,-2,9,-17,200,-264,41,207
-4,9,-2,-20,-9,-10,-13,9,-81,121,278,-160
-16,10,-14,-1,1,17,8,13,64,-142,-22,-251
12,15,-1,-5,-2,10,-11,-20,-189,-180,57,90
-5,-9,10,-17,-15,-15,5,-3,30,102,-235,-99
-11,11,-1,12,-19,-13,-19,9,0,242,-209,121
15,4,-4,-18,-6,12,11,8,-46,212,-174,-192
-2,11,-16,20,-8,-3,-16,-9,-160,-93,-192,-132
7,2,8,0,2,2,11,-11,36,-8,16,16
-8,17,-20,4,13,16,-18,19,-410,195,-332,-244
16,-6,9,16,-13,15,-7,13,-166,162,-229,343
16,0,1,0,6,-15,-13,-19,96,-240,6,-15
11,7,3,-12,-14,-11,-9,-19,-217,-254,66,195
-20,16,-17,-16,8,-10,-7,3,-272,248,-24,122
-11,-3,-19,13,-2,-11,-17,10,73,91,-183,339
10,6,-14,-8,13,-5,-13,-10,52,-110,-78,150
13,-10,-6,-10,1,5,15,-12,-137,185,-156,90
9,17,-14,7,1,13,-4,-13,-59,-104,-42,-273
-5,-20,-10,-17,-18,-2,-6,-17,210,350,282,309
-10,0,-15,14,-6,1,-18,18,60,-10,-162,237
-13,0,11,-6,-4,5,14,-3,52,-65,-128,73
17,-19,8,12,3,8,20,16,-329,-168,264,256
-6,12,-17,-12,16,-7,13,-1,60,30,-428,131
2,13,-2,4,10,14,-17,16,-201,236,-88,36
2,3,-14,-16,11,-19,14,-19,64,-95,-378,570
18,-4,14,-7,0,-20,2,-8,-8,-328,-14,-224
19,-6,-9,11,11,-19,1,14,203,-445,-88,325
2,-5,-16,-13,0,2,-16,6,80,-26,208,-110
3,7,9,-5,-19,17,20,-18,83,-75,-271,243
5,-14,4,7,-15,-11,18,-1,-327,-41,66,-51
-16,-13,4,10,-18,-17,-11,7,431,181,-182,2
-4,15,-17,12,-20,15,-20,20,-220,240,100,-15
-6,-19,-3,19,-17,6,-15,2,387,-74,-234,20
19,-9,13,-1,0,13,-19,-12,171,355,19,181
-6,9,-15,-19,9,7,15,-16,81,-186,-420,199
16,-5,14,-12,12,-11,4,-18,172,-86,120,62
4,3,-9,6,7,0,20,-16,88,-48,57,-96
-3,-4,-9,18,1,19,15,6,-63,-81,261,-63
-4,-13,-2,17,11,2,7,-4,-135,44,97,-72
2,12,7,-18,-17,19,-5,3,-94,74,-29,79
-19,3,14,19,-14,9,-14,-17,224,-222,-462,-197
7,-19,3,4,-13,2,-13,12,156,-214,-91,54
12,-8,-8,0,-13,20,4,-7,-188,296,104,-160
-13,1,1,-7,17,12,-9,19,-230,-137,80,-121
-10,17,-18,9,13,13,-8,7,-266,-11,-306,-171
-4,7,-5,-18,-7,6,-5,11,-7,53,125,-228
20,2,-5,2,-20,-4,4,-9,-392,-98,108,2
10,-19,-7,13,19,-15,11,-6,-19,-36,10,27
17,-6,-11,-5,-16,6,3,20,-290,-18,161,-166
-9,4,6,-10,14,16,4,-11,-110,-188,44,206
-11,14,-18,8,18,-10,-6,-11,-282,-44,-372,92
8,-17,-6,10,-8,4,20,-12,-404,236,248,-144
-1,14,18,8,6,15,-9,-13,-132,-197,36,166
-7,16,-9,-17,16,-20,-8,-19,-240,-164,-8,503
-18,-7,-17,15,-13,-9,-5,11,269,85,146,318
20,-2,-7,-13,18,-9,9,10,342,-200,-243,-67
9,-19,16,18,-5,17,19,7,-406,20,262,398
12,12,-12,17,19,8,20,13,468,252,112,125
-12,17,-3,-3,-3,18,9,10,189,-46,-18,-84
-5,-12,8,-16,12,-19,20,-4,-300,143,-224,-88
17,17,-17,0,-14,-17,16,17,34,0,238,289
5,14,19,-15,-18,14,14,-5,106,0,-552,341
-3,14,1,14,10,4,7,-3,68,-54,108,-38
6,5,-8,5,-17,-16,13,6,-37,-66,201,158
3,-12,0,-5,-7,9,-16,2,171,3,80,-10
-10,-6,17,-9,2,0,-2,-12,-8,72,52,108
-20,-4,1,16,20,4,10,-8,-440,-48,180,-124
6,2,17,-16,-20,19,13,2,-94,118,-548,291
11,17,-19,-10,13,-6,-11,19,-44,257,-137,-76
-11,-15,-12,-15,-8,-13,7,3,-17,98,-9,111
-3,-14,16,13,8,-1,-18,-18,228,255,-106,-250
-2,-8,-19,-4,-7,-5,4,-3,-18,34,117,107
-6,5,-1,-20,10,-7,4,-14,-40,-28,-90,287
1,1,20,-6,8,11,-10,8,-2,19,220,172
9,-20,7,11,-5,1,5,-18,-145,369,20,-191
-10,13,0,1,12,-18,-19,-19,-367,-67,-19,-19
12,-16,-13,20,12,13,12,-15,-48,396,84,-469
20,11,-17,-9,-10,1,14,7,-46,97,44,-80
6,4,-11,3,-16,-3,0,-17,-96,-86,176,-18
1,14,15,4,-12,17,8,-20,100,-263,-148,175
-14,-14,6,11,17,-7,-10,-17,-98,336,-8,-229
15,7,12,-14,-17,3,-4,-16,-283,-67,-148,260
2,-4,5,-15,-11,20,-18,-8,50,72,215,220
-5,-2,16,-7,-20,-18,0,13,100,64,-320,-379
-11,-19,-7,-1,-9,16,-20,5,479,-271,83,-117
6,-20,12,-16,-18,10,7,3,-248,0,-328,72
7,-4,6,-14,1,-19,-1,12,11,-181,20,-282
-5,-14,-18,-1,3,17,-17,-2,223,-57,-37,-304
-1,-5,11,-12,-17,19,5,8,-8,-59,-247,113
-14,-2,-14,1,14,-13,18,-5,-232,192,-178,177
10,-1,-16,16,-4,-4,13,19,-53,-59,272,368
-19,-18,-18,-11,3,8,12,2,-273,-188,-186,-166
6,9,-10,1,7,-13,5,10,87,12,-65,140
-16,13,-15,-12,19,-3,17,10,-83,178,-489,-75
1,17,-6,-9,1,-7,-16,-2,-271,-41,138,60
-19,-11,-19,-12,-4,-1,1,6,65,-47,64,-53
5,11,20,3,11,5,10,8,165,113,250,124
-17,-15,-14,-15,19,-18,-10,13,-173,111,-116,57
11,13,12,-13,0,20,1,-5,13,155,-13,305
4,-16,-11,4,-16,-12,-5,-10,16,112,156,92
-7,-11,20,13,17,8,9,4,-218,-100,457,212
-8,4,-5,4,-18,13,-6,-4,120,-120,66,-81
18,4,-17,-2,11,14,-3,5,186,272,-181,-248
-18,-8,-11,19,3,12,11,17,-142,-352,176,191
-2,3,1,-7,-20,1,1,12,43,34,-27,-83
3,5,19,19,-17,7,-5,1,-76,26,-418,152
-19,-13,5,17,-19,-16,-17,1,582,291,-384,-63
-7,-12,20,17,-20,11,-10,13,260,-233,-570,441
5,15,19,-3,12,-1,18,-12,330,-185,174,17
15,12,-20,14,-17,-19,-7,0,-339,-285,242,380
-19,18,0,-10,17,-2,4,-10,-251,-142,-40,100
-8,-14,-12,15,16,-20,20,8,-408,48,108,360
-7,12,19,17,12,4,13,5,72,32,449,161
-7,14,-6,-1,12,11,-13,7,-266,21,-59,-73
-11,-14,-4,-18,-9,-20,8,-18,-13,472,-108,404
19,7,10,-19,3,-17,10,13,127,-232,-160,-417
8,-19,2,-9,-18,-4,-10,4,46,-108,54,-44
13,-16,-15,-1,-3,18,13,8,-247,106,32,-278
-2,16,8,12,-19,-3,3,-4,86,-58,-116,-72
9,0,-1,5,5,-16,-7,8,45,-144,-40,56
-18,3,-14,5,4,12,20,12,-12,-180,44,-108
12,-4,-14,1,-16,14,13,-9,-244,204,237,-205
-10,-9,2,6,19,14,-1,-12,-181,-32,32,-44
13,9,-15,-17,-10,16,-8,11,-202,307,286,-427
-12,-18,-9,17,-3,17,11,4,-162,-276,214,-85
-14,-13,-18,-13,19,20,-2,-18,-240,-46,-316,-126
-5,-16,4,6,17,-12,12,17,-277,-212,140,54
16,4,-2,-19,16,18,2,10,264,328,-70,-226
3,11,4,10,-8,7,-18,9,-222,120,-212,118
13,5,0,3,-7,-17,20,6,9,-191,60,18
10,5,12,2,13,7,-14,0,60,70,128,84
-10,-1,-5,11,1,-18,-5,6,-5,174,-60,156
3,-9,-5,-5,10,15,15,12,-105,-63,-125,-135
13,-13,2,0,-18,-4,-6,20,-156,-312,-36,-8
-8,-19,12,-18,-10,20,-5,0,175,-160,-30,240
3,19,-17,16,20,10,19,-14,421,-236,-36,-394
-4,4,8,0,0,-9,19,12,76,84,0,-72
2,7,-14,-12,-14,-6,-17,9,-147,51,400,-24
-20,-9,-18,-7,-14,5,-14,11,406,-199,350,-167
20,9,15,7,10,-5,-4,-16,164,-244,122,-187
5,-9,14,-5,-4,-17,-8,13,52,-202,-16,-303
14,14,0,-18,16,-18,-6,-5,140,-322,108,90
-11,-18,6,-6,-6,-9,16,-10,-222,279,-132,6
6,6,3,17,-19,18,-1,-14,-120,24,-74,-184
-12,-3,-7,-2,18,12,17,12,-267,-180,-160,-108
-12,-1,16,-13,12,-9,-19,2,-125,106,439,-170
13,-10,13,-4,-2,-15,-16,2,134,-215,38,-203
-17,15,-6,-12,18,-5,12,-1,-126,70,-252,42
-1,-1,1,-17,-13,19,-9,18,22,-37,140,-287
5,15,3,19,15,-4,-13,-13,-120,-215,-202,-259
8,20,-6,-12,12,-4,-15,-17,-204,-372,108,228
10,-12,15,9,20,12,-12,-20,344,360,192,0
7,-13,15,-5,11,-3,15,-6,-118,57,90,-15
7,15,-1,15,-15,-8,-1,12,-120,124,0,188
-2,-1,5,20,-9,1,15,2,3,-4,255,45
4,7,-11,11,-6,-5,-10,-7,-94,-69,-44,-22
-10,17,-17,16,-14,-12,12,-10,344,-50,430,44
4,19,-1,0,6,-3,18,10,366,178,-6,3
-8,-9,-15,2,1,-1,14,18,-134,-154,13,51
0,-18,-13,-13,-7,13,15,-10,-270,180,-104,-39
20,19,-5,-11,4,-13,18,-14,422,-526,-218,219
9,-11,-16,20,16,-9,-9,-17,243,106,-436,-196
-12,-19,17,-7,-15,-13,8,15,28,-129,-311,-326
19,-5,-19,19,-12,10,-8,-18,-188,280,76,-532
9,10,13,19,-3,3,20,2,173,47,341,77
-4,-19,-3,12,12,14,2,-18,-86,286,-12,-258
6,3,8,15,20,7,0,14,120,84,160,266
-18,9,-20,3,-12,12,18,-6,378,-270,294,-258
17,15,-16,-2,-17,20,-13,17,-484,595,298,-354
-20,0,-13,-20,-19,2,-18,10,380,-40,607,-226
10,-14,11,-14,-18,7,2,9,-208,-56,-226,-49
8,0,-5,-8,-9,-18,13,17,-72,-144,-59,-46
17,14,1,-10,6,14,2,-10,130,98,-14,114
-15,14,-16,14,-8,-10,1,-15,134,-60,142,-50
2,2,6,-6,-3,17,8,1,10,36,-66,96
-18,-2,8,-6,-12,12,-9,17,234,-250,-42,-6
-15,-10,0,-2,-18,-15,19,-4,80,265,-38,8
-3,-9,-16,16,9,-2,18,14,-189,-120,144,256
-15,-4,8,-8,-10,20,2,11,142,-344,-96,72
-5,-15,11,15,7,-11,-19,-15,250,280,-208,-346
13,-20,17,11,-8,9,-8,-16,56,437,-224,-23
20,12,-6,2,-7,3,-5,12,-200,204,32,6
19,-11,6,10,6,12,15,7,-51,151,186,142
-8,1,13,-10,-10,-9,-18,14,62,86,50,-257
-7,8,-11,-20,13,-5,2,-18,-75,-109,-183,415
20,18,-7,4,5,-12,16,17,388,66,29,152
-6,20,12,14,20,-3,-5,19,-220,398,170,230
-19,17,20,6,14,4,-13,15,-487,179,202,170
-16,9,15,-6,-15,-15,-18,-14,78,114,-117,-141
2,5,8,8,11,-17,-15,-11,-53,-89,-32,-224
-18,-12,18,-4,-15,5,12,13,126,-246,-318,38
-16,4,9,-16,-10,10,6,20,184,-80,-186,-230
12,-2,14,-2,-16,12,2,16,-196,112,-228,136
-10,-2,5,5,-12,2,-19,-19,158,18,-155,-85
-16,13,-18,-13,14,-14,19,-3,23,185,-499,291
-9,-17,-8,18,4,-3,-11,-1,151,44,-230,6
0,-12,-3,-14,3,-17,-9,-8,108,96,117,163
19,-16,-2,-10,-1,8,-1,2,-3,120,12,-36
-17,-3,5,-11,7,16,19,-8,-176,-248,-174,168
-10,13,9,17,6,1,12,-8,96,-114,258,-127
20,8,7,-12,9,-10,20,-7,340,-256,-177,14
-16,18,6,-10,-17,1,-20,14,-88,236,98,-134
-10,-1,-13,-20,-19,4,-17,13,207,-53,587,-312
-3,-5,-14,-7,0,-8,-19,18,95,-66,133,-14
11,10,4,-6,-11,-11,-4,10,-161,-21,-20,-104
14,-11,2,4,-11,15,-17,17,33,23,-90,98
-8,-13,-16,16,18,-5,-16,3,64,1,-544,128
-16,2,18,11,20,2,-17,17,-354,2,173,223
-2,3,-10,-12,-8,-9,17,12,67,54,-124,-54
-18,11,4,7,2,2,17,-17,151,-223,127,-111
2,-4,-7,6,12,18,8,-16,-8,100,-36,-222
7,10,-20,1,16,3,-12,17,-8,191,-332,-43
19,-4,-2,-19,-14,-8,12,-3,-314,-140,-200,73
13,-18,-13,-4,-17,-19,-18,9,103,-409,293,211
-10,-6,-20,8,5,-16,8,11,-98,94,-36,408
-1,9,-17,0,8,11,7,17,55,142,-136,-187
-18,-14,-7,16,-4,-1,-2,-2,100,46,-4,-25
-11,-1,-14,12,19,4,7,-10,-216,-34,-182,-176
-15,-7,12,-9,-10,-6,5,-9,115,153,-165,9
10,9,12,-14,-5,-8,-16,18,-194,82,164,-348
2,13,-5,-16,3,8,8,-15,110,-179,-143,200
8,16,12,-3,-13,-4,-17,-14,-376,-256,-105,-6
2,18,2,-6,-17,16,1,5,-16,122,-40,2
-1,-16,-18,2,-6,-13,-17,10,278,-147,74,254
9,18,-7,20,-5,13,19,20,297,477,415,309
7,18,-18,-2,9,-14,8,13,207,136,-178,226
-10,7,4,7,-10,-20,-17,3,-19,221,-159,-59
-15,10,16,8,-8,12,11,2,230,-160,-40,208
-6,19,14,13,-17,18,7,-10,235,-298,-147,122
7,-3,12,12,18,-12,18,-13,72,-45,432,-300
-6,-5,13,-3,8,-10,-2,6,-38,30,110,-148
-3,-19,-12,-10,-6,3,0,19,18,-370,72,-226
16,8,14,14,12,1,1,0,200,16,182,14
11,-12,3,-5,0,-5,-4,4,48,-103,20,-35
-14,-19,-5,12,7,5,-10,-2,92,-32,-155,-49
-14,-1,10,-10,8,3,-4,-14,-108,-28,120,170
-8,12,3,17,-16,4,-6,8,56,64,-150,148
-18,8,-1,14,1,3,17,-10,118,-134,237,-143
-10,-10,-13,-1,3,16,8,4,-110,-200,-47,-212
2,3,-11,2,-20,-1,9,3,-13,7,238,17
3,4,-15,-18,10,20,-16,16,-34,124,138,-588
-16,17,18,1,16,-15,6,-9,-154,87,294,-279
18,7,2,-17,2,3,6,-10,78,-16,-98,176
-2,-14,18,14,1,-19,-13,2,180,10,-164,-314
10,-12,-15,3,4,-18,-16,-12,232,-36,-108,234
14,3,-19,11,1,-17,4,3,26,-229,25,356
-17,-4,-18,7,-13,2,9,0,185,-34,297,-36
16,-10,-6,-3,0,-3,10,0,-100,-48,-30,18
0,11,-2,-8,-3,2,6,-13,66,-143,-42,100
-15,-8,19,8,-7,2,-17,18,241,-174,-269,182
-4,-11,-2,-12,-18,-4,-6,2,138,-6,108,-16
-14,15,-17,-6,19,-13,-14,10,-476,332,-239,161
3,-18,-2,-10,0,-4,16,12,-288,-228,-160,-112
10,3,0,12,6,1,-8,5,36,25,-96,60
8,0,18,-4,8,-17,-17,6,64,-136,212,-330
20,-7,-2,13,-2,-17,2,-2,-54,-326,30,8
0,5,-5,17,-18,17,-9,9,-45,45,-63,68
10,-3,13,-18,0,-20,20,2,-60,-206,-360,-296
-2,-13,-12,-6,-14,4,17,20,-193,-268,66,-168
18,13,2,-17,-18,-3,20,5,-64,11,-376,-91
-14,-10,-19,14,-10,-7,8,-3,60,128,302,91
2,-3,4,15,2,-7,-18,-4,58,-2,-262,-88
-13,-14,7,14,20,19,20,19,-540,-513,420,399
6,6,-3,19,16,2,1,3,102,30,-29,51
-12,6,-15,5,-2,18,-7,11,-18,-150,-5,-215
9,-13,-4,11,-11,-18,-14,-16,83,46,-110,-104
-3,-16,14,0,6,5,-15,12,222,-207,84,70
17,-11,10,-4,8,-19,-7,1,213,-334,108,-194
-15,-6,2,-20,-3,-9,-8,-20,93,255,154,382
5,-15,-19,-17,-8,-5,17,6,-295,-115,-137,-7
-17,2,10,-14,-11,-15,13,-13,213,229,-292,32
-14,-20,-4,18,-4,1,11,3,-164,-74,214,50
-5,18,0,-3,-5,2,1,1,43,8,-3,-3
-18,10,-15,4,-15,-16,-7,-10,200,188,197,200
-4,8,-8,-16,-9,-8,-12,15,-60,152,264,-176
13,17,-5,14,-9,2,-5,2,-202,60,-25,18
14,-17,10,1,12,-2,-12,-6,372,74,108,-26
17,-1,3,13,-9,19,-10,8,-143,315,-157,161
2,16,-6,17,-18,13,-10,7,-196,138,-62,41
-13,-10,20,-9,14,-12,-4,-11,-142,266,316,-141
15,-5,19,-20,-18,9,1,17,-275,50,-362,-169
-13,10,-6,12,2,-4,11,14,84,192,120,192
-20,-13,5,-1,-1,-10,13,8,-149,96,-18,-58
-17,-11,-18,12,-20,-3,-1,13,351,-92,348,210
-1,18,17,-13,-9,0,-1,-5,-9,-90,-140,65
-13,-17,-6,-1,-3,14,-7,-20,158,158,25,-64
19,18,14,20,5,17,7,0,221,323,210,238
12,-6,1,1,-3,-17,-16,-13,60,-126,-19,-30
-17,3,-12,13,7,-1,-10,-15,-149,-28,-214,-183
-10,17,4,16,-10,-19,4,-16,168,-82,24,-332
-19,0,12,-19,3,0,-10,16,-57,0,226,-304
-6,-3,13,-12,-1,19,1,-18,3,-60,-25,463
7,-15,13,8,-19,15,6,16,-223,-135,-199,323
9,-14,0,0,1,-11,-4,-8,65,13,0,0
-4,12,-8,1,-16,-5,-3,-18,28,-196,125,22
17,-16,-4,3,-7,-15,-1,8,-103,-383,25,84
13,7,-14,12,-10,20,-3,-9,-151,197,104,-388
-1,17,4,-3,-1,-19,10,-15,171,-236,-34,-31
-17,-7,-11,10,6,-20,10,14,-172,242,34,360
-4,-10,-12,16,-15,18,3,12,30,-192,228,-24
-4,-13,13,-9,-20,-3,-15,11,275,-131,-125,-138
9,-16,9,-16,7,-7,-14,-17,287,209,287,209
0,11,14,-12,-13,-15,-12,-18,-132,-198,-38,6
6,19,3,9,20,-2,11,6,329,102,159,48
-9,18,1,-7,-11,-7,9,-15,261,-207,-74,98
-4,-12,13,-9,9,6,-14,-18,132,192,243,240
-17,-13,-5,-3,-16,-18,1,4,259,254,77,78
0,-10,-12,-4,-12,-12,14,-15,-140,150,88,204
-3,6,8,3,18,-14,3,-20,-36,-78,153,-172
19,-19,-16,-9,2,18,3,-9,-19,513,-59,-207
1,7,-4,10,8,-15,13,-19,99,-148,98,-130
-9,-10,9,-7,-2,12,-7,18,88,-288,31,-18
-2,-12,-20,18,19,10,-17,1,166,-32,-686,-182
-15,-16,-14,1,19,14,16,-12,-541,-18,-250,-208
19,-17,-8,19,-10,7,-5,-17,-105,422,-15,-379
-15,9,18,2,10,13,-13,-11,-267,-294,154,212
-7,13,-7,0,-7,4,8,-10,153,-158,49,-28
18,-2,-4,-11,-12,-7,17,-10,-250,-106,-139,138
20,4,-8,7,7,-5,-16,-13,76,-152,-168,-51
-4,-19,-12,9,5,20,18,0,-362,-80,102,-240
5,-2,4,-7,-15,16,7,-12,-89,104,-109,148
0,-20,8,4,-13,-9,-16,16,320,-320,-168,-8
12,-6,-2,14,5,20,-10,-4,120,264,-150,-96
20,7,1,-7,11,-18,6,16,262,-248,-31,-130
8,0,6,-7,-16,9,16,-1,-128,72,-208,61
15,17,-13,3,-5,20,19,17,248,589,122,-209
-6,-2,14,6,-1,14,2,8,2,-100,-2,244
17,14,-11,-2,-8,-11,12,9,32,-61,64,103
-2,-16,-17,2,-4,-19,-17,4,280,-26,34,331
13,-4,-4,-5,-18,15,2,-14,-242,251,62,10
15,5,-18,-12,-17,5,-18,5,-345,100,522,-150
7,-7,-16,12,-20,-18,11,-20,-217,14,452,48
-14,11,-8,9,20,-10,-18,20,-478,360,-322,260
-2,-11,-17,-5,-4,1,-10,10,118,-112,118,-67
-12,-16,17,19,15,7,-12,-7,12,28,27,-14
1,6,18,18,-6,-4,-3,8,-24,44,-162,72
-9,0,-20,5,6,11,9,7,-54,-99,-75,-185
8,-15,0,7,14,4,10,8,-38,-88,70,56
0,0,20,9,16,16,-11,12,0,0,221,428
-18,-10,15,-17,17,14,-10,14,-206,-392,425,-28
-19,-20,0,-7,11,19,15,0,-509,-361,-105,0
5,-5,-3,-5,5,-17,1,-5,20,-60,-20,76
20,-3,17,19,-1,-6,19,7,-77,-141,344,31
-19,16,14,-13,-8,18,16,19,408,-38,-320,5
9,6,-15,7,-2,1,-17,-20,-120,-111,-89,-155
13,-19,6,20,14,18,-2,-4,220,310,44,28
7,18,10,0,18,4,-14,-3,-126,-26,180,40
-11,7,-12,-1,10,-1,17,13,9,102,-137,-1
16,15,12,-8,1,19,15,-7,241,199,-108,284
-7,-6,-6,2,-12,-20,4,-19,60,254,80,82
-6,2,15,8,8,-6,-5,-12,-58,12,80,-186
-17,13,-12,1,19,-19,6,-1,-245,310,-222,227
12,11,-16,8,-9,16,-16,-18,-284,-6,16,-400
8,8,-5,0,8,9,-16,-9,-64,0,-40,-45
2,-20,-16,-3,-7,17,-8,1,146,14,136,-275
3,-20,-18,-10,-4,2,-7,12,128,-234,142,-156
10,-5,6,-20,-20,-6,-18,16,-110,-140,240,-356
-19,-3,-7,5,13,-9,13,6,-286,153,-26,93
18,-19,4,7,15,-17,-4,5,346,-401,32,-33
-3,-17,14,2,-17,5,-5,13,136,-236,-248,96
-2,-12,19,1,10,-15,-1,-6,-8,102,189,-291
-12,5,18,8,16,3,-1,0,-197,-36,280,54
-11,-16,-10,10,10,13,-19,-18,194,145,-290,-310
-11,-15,17,11,-7,-17,3,-5,32,262,-86,-344
5,20,-19,-14,-7,-14,-20,-1,-435,-90,413,280
0,-16,-15,19,-1,3,-19,3,304,-48,-346,12
6,0,-18,-4,-17,4,-14,-15,-102,24,362,-12
8,-9,17,5,5,9,11,18,-59,-90,140,243
0,-5,8,-3,6,2,-10,18,50,-90,78,-38
17,-15,3,-16,-18,-16,19,11,-591,-437,-358,-224
-8,-3,-1,4,2,-14,1,-5,-19,127,2,-6
2,18,-2,3,-2,-12,-12,0,-220,-24,-32,24
-11,11,14,17,-15,9,-5,12,110,33,-295,330
14,7,10,-1,1,13,13,16,105,294,-3,114
0,-4,7,-10,-1,-3,14,-6,-56,24,-147,39
6,-17,-1,3,11,2,-13,-13,287,233,-50,-41
11,-19,-9,-13,-20,-9,-19,20,141,-479,427,-179
8,-5,-19,-20,0,2,14,-17,-70,101,-280,302
20,4,-4,0,-17,5,-16,14,-404,156,68,-20
-7,-7,-19,-4,-4,15,8,-12,-28,-21,44,-237
18,19,-4,13,11,-15,-17,-11,-125,-479,-265,-83
-18,-18,-14,16,-9,15,11,14,-36,-522,302,14
-6,-10,17,8,0,-14,16,-5,-160,134,128,-278
9,-18,-20,-1,-10,9,10,9,-270,-81,190,-189
-2,-16,-5,-11,-7,16,-13,-14,222,192,178,74
-15,-18,-7,14,20,-9,-4,20,-228,-225,-196,343
-3,1,14,18,16,13,14,10,-34,-29,476,362
0,1,-9,2,-15,-3,-8,-2,-8,-2,119,23
17,-16,-14,19,20,3,7,14,228,-173,-147,224
5,-5,0,20,10,-11,-13,16,115,-135,-260,320
-18,-4,13,-16,10,-15,15,10,-240,230,-110,-355
-11,-8,-19,-13,0,-3,16,3,-128,9,-208,18
6,8,-12,16,6,-14,-14,-17,-76,-220,-296,-104
-9,5,20,18,6,18,-18,14,-144,-92,-204,612
-12,6,-15,-20,-13,-2,-8,-8,108,-24,355,190
-4,16,4,16,-8,19,0,-4,32,-140,-32,12
19,18,15,-8,12,3,2,0,264,57,164,45
3,20,-15,-19,20,2,-5,-15,-40,-294,-205,255
-3,8,15,1,8,-5,-5,8,-64,79,115,-67
20,-8,-6,4,-11,19,4,-14,-252,492,82,-170
10,3,18,-11,-10,19,-13,16,-139,238,-37,166
-19,-19,3,-7,11,-20,-12,-4,19,456,117,-32
-5,-7,6,11,-12,-6,-3,7,81,-19,-105,41
-16,-8,7,-7,5,8,14,-20,-192,32,-63,196
11,-11,16,5,2,14,-17,-11,209,275,-53,169
-10,-11,17,7,19,-19,11,14,-311,36,400,-225
-16,-16,-10,-14,6,14,-15,-20,144,96,150,140
-9,11,-11,-8,20,-6,6,-5,-114,-1,-268,106
-6,-19,-13,18,19,12,3,-6,-171,42,-193,-264
-13,-17,1,-1,4,-8,18,13,-358,-117,-14,-21
-20,-17,1,9,-19,19,-3,1,431,-397,-46,28
-20,-1,-9,-16,11,4,14,-19,-234,-61,-323,268
16,-16,1,-20,-12,-11,10,-9,-352,-32,-212,169
12,0,-19,16,-14,-19,6,-6,-168,-228,362,265
18,12,1,-18,10,18,-10,18,60,540,190,-306
-12,-6,14,-9,10,-19,16,-10,-216,288,-4,-176
19,19,-19,-7,12,18,14,-7,494,209,-326,-293
-17,16,3,-13,17,-8,-12,-6,-481,40,207,54
-3,2,12,8,0,3,11,-19,22,-47,88,-116
4,20,4,-8,-12,19,8,-9,112,-104,-112,148
8,-15,-19,11,19,16,18,-10,-118,278,-163,-414
10,-10,-10,0,16,14,-15,20,310,-60,-160,-140
17,8,2,-1,-10,-16,4,-1,-138,-280,-24,-31
-8,-16,-1,4,12,-5,18,-19,-384,344,60,-71
-19,-1,-17,-14,-10,0,20,-4,170,4,-110,56
5,2,-11,4,20,13,-17,-12,66,41,-288,-191
5,9,5,20,-14,-10,-4,-7,-106,-113,-150,-190
-3,-1,-3,-17,20,3,-2,-14,-58,5,-26,229
16,-2,-13,-8,9,19,10,10,124,284,-197,-327
16,7,7,-2,6,0,-6,17,54,119,54,-34
18,12,2,19,10,8,18,18,396,360,362,358
-3,-20,1,1,-18,14,15,13,-246,-302,-3,27
-20,1,0,5,-20,11,2,14,402,-206,10,70
8,7,0,10,-8,8,18,-18,62,-62,180,-180
-1,-4,15,-2,-7,4,-6,15,31,-64,-93,30
3,-11,16,-4,-12,8,-4,-7,8,101,-176,156
-15,-20,-16,9,20,-6,-8,-1,-140,110,-392,87
